Feature,Importance
res_fc_feature,55.07035133174201
day_6,8.953719228025841
day_7,7.743696061712875
 day_3,4.984141092591085
day_4,3.963039998933398
day_5,3.153976974803812
day_1,2.665996464251294
year,2.047531914110852
month,1.6876806298331597
holiday,1.4388173306086043
weekday,1.3445883157484972
 day_2,1.2400226588292929
类型_犯罪,1.2059743457980092
day_0,1.1658682230118873
类型_科幻,0.5057489187638828
类型_爱情,0.47029029238190573
类型_家庭,0.3993115252802474
Avg_Review_Length,0.3396167770767558
类型_历史,0.2950004650467147
trend_slope,0.2696025738772415
Weighted_Sentiment_Score,0.21788493378091187
类型_冒险,0.19735446834783624
类型_喜剧,0.17092418725543632
show_place,0.1617149917643443
类型_动作,0.07946599234526602
类型_战争,0.06866780483471276
类型_悬疑,0.060828733485536544
lasting_date,0.0593042073421369
类型_剧情,0.038879558416613766
